benchmark_num_bands,void_speed_fraction,max_velocity_update_m_per_s,FWI stage,Stage description,Metric short name,Metric full name,Value,Unit,Formula used,Meaning,Good result
0,0.7,2529.9000000000005,Stage 1,20 MHz low-frequency FWI reconstruction,MAE,Mean Absolute Error,343.75823974609375,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.
0,0.7,2529.9000000000005,Stage 1,20 MHz low-frequency FWI reconstruction,RMSE,Root Mean Squared Error,431.6814270019531,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.
0,0.7,2529.9000000000005,Stage 1,20 MHz low-frequency FWI reconstruction,Bias,Mean Signed Error,-8.449346542358398,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.
0,0.7,2529.9000000000005,Stage 1,20 MHz low-frequency FWI reconstruction,NRMSE,Normalized Root Mean Squared Error,17.063182830810547,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.
0,0.7,2529.9000000000005,Stage 1,20 MHz low-frequency FWI reconstruction,Correlation,Pearson Spatial Correlation,0.6983119650142455,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.
0,0.7,2529.9000000000005,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,MAE,Mean Absolute Error,180.4295196533203,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.
0,0.7,2529.9000000000005,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,RMSE,Root Mean Squared Error,267.2339172363281,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.
0,0.7,2529.9000000000005,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Bias,Mean Signed Error,-3.677445888519287,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.
0,0.7,2529.9000000000005,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,NRMSE,Normalized Root Mean Squared Error,10.563023567199707,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.
0,0.7,2529.9000000000005,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Correlation,Pearson Spatial Correlation,0.865739422481234,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.
