benchmark_num_bands,FWI stage,Stage description,Metric short name,Metric full name,Value,Unit,Formula used,Meaning,Good result,experiment_name,experiment_type,num_bands,geometry
6,Stage 1,20 MHz low-frequency FWI reconstruction,MAE,Mean Absolute Error,88.1549072265625,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.,6 ideal bands,resolution_limit,6,ideal_horizontal
6,Stage 1,20 MHz low-frequency FWI reconstruction,RMSE,Root Mean Squared Error,101.555908203125,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.,6 ideal bands,resolution_limit,6,ideal_horizontal
6,Stage 1,20 MHz low-frequency FWI reconstruction,Bias,Mean Signed Error,0.461974024772644,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.,6 ideal bands,resolution_limit,6,ideal_horizontal
6,Stage 1,20 MHz low-frequency FWI reconstruction,NRMSE,Normalized Root Mean Squared Error,15.0533447265625,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.,6 ideal bands,resolution_limit,6,ideal_horizontal
6,Stage 1,20 MHz low-frequency FWI reconstruction,Correlation,Pearson Spatial Correlation,0.7599664984637354,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.,6 ideal bands,resolution_limit,6,ideal_horizontal
6,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,MAE,Mean Absolute Error,77.77481842041016,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.,6 ideal bands,resolution_limit,6,ideal_horizontal
6,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,RMSE,Root Mean Squared Error,93.2133331298828,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.,6 ideal bands,resolution_limit,6,ideal_horizontal
6,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Bias,Mean Signed Error,-3.2308528423309326,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.,6 ideal bands,resolution_limit,6,ideal_horizontal
6,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,NRMSE,Normalized Root Mean Squared Error,13.81674861907959,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.,6 ideal bands,resolution_limit,6,ideal_horizontal
6,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Correlation,Pearson Spatial Correlation,0.800887941314884,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.,6 ideal bands,resolution_limit,6,ideal_horizontal
8,Stage 1,20 MHz low-frequency FWI reconstruction,MAE,Mean Absolute Error,101.3985366821289,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.,8 ideal bands,resolution_limit,8,ideal_horizontal
8,Stage 1,20 MHz low-frequency FWI reconstruction,RMSE,Root Mean Squared Error,118.88825988769533,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.,8 ideal bands,resolution_limit,8,ideal_horizontal
8,Stage 1,20 MHz low-frequency FWI reconstruction,Bias,Mean Signed Error,-0.6587035655975342,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.,8 ideal bands,resolution_limit,8,ideal_horizontal
8,Stage 1,20 MHz low-frequency FWI reconstruction,NRMSE,Normalized Root Mean Squared Error,14.09797477722168,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.,8 ideal bands,resolution_limit,8,ideal_horizontal
