benchmark_num_bands,void_speed_fraction,max_velocity_update_m_per_s,FWI stage,Stage description,Metric short name,Metric full name,Value,Unit,Formula used,Meaning,Good result
0,0.5,7500.0,Stage 1,20 MHz low-frequency FWI reconstruction,MAE,Mean Absolute Error,1139.9822998046875,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.
0,0.5,7500.0,Stage 1,20 MHz low-frequency FWI reconstruction,RMSE,Root Mean Squared Error,1692.0982666015625,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.
0,0.5,7500.0,Stage 1,20 MHz low-frequency FWI reconstruction,Bias,Mean Signed Error,608.4016723632812,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.
0,0.5,7500.0,Stage 1,20 MHz low-frequency FWI reconstruction,NRMSE,Normalized Root Mean Squared Error,40.13039779663086,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.
0,0.5,7500.0,Stage 1,20 MHz low-frequency FWI reconstruction,Correlation,Pearson Spatial Correlation,-0.13034604670323033,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.
0,0.5,7500.0,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,MAE,Mean Absolute Error,1213.5274658203125,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.
0,0.5,7500.0,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,RMSE,Root Mean Squared Error,1780.8975830078125,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.
0,0.5,7500.0,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Bias,Mean Signed Error,656.0667724609375,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.
0,0.5,7500.0,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,NRMSE,Normalized Root Mean Squared Error,42.23639678955078,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.
0,0.5,7500.0,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Correlation,Pearson Spatial Correlation,-0.1218367645892842,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.
