benchmark_num_bands,void_speed_fraction,max_velocity_update_m_per_s,FWI stage,Stage description,Metric short name,Metric full name,Value,Unit,Formula used,Meaning,Good result
0,0.5,4216.5,Stage 1,20 MHz low-frequency FWI reconstruction,MAE,Mean Absolute Error,884.5352783203125,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.
0,0.5,4216.5,Stage 1,20 MHz low-frequency FWI reconstruction,RMSE,Root Mean Squared Error,1145.917236328125,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.
0,0.5,4216.5,Stage 1,20 MHz low-frequency FWI reconstruction,Bias,Mean Signed Error,83.7613525390625,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.
0,0.5,4216.5,Stage 1,20 MHz low-frequency FWI reconstruction,NRMSE,Normalized Root Mean Squared Error,27.176977157592773,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.
0,0.5,4216.5,Stage 1,20 MHz low-frequency FWI reconstruction,Correlation,Pearson Spatial Correlation,0.5185527068047853,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.
0,0.5,4216.5,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,MAE,Mean Absolute Error,713.943115234375,m/s,mean(abs(reconstructed_speed - true_speed)),Average absolute velocity error inside the inversion mask.,Lower is better.
0,0.5,4216.5,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,RMSE,Root Mean Squared Error,977.7582397460938,m/s,sqrt(mean((reconstructed_speed - true_speed)^2)),"Typical velocity error, with large errors penalized more strongly.",Lower is better.
0,0.5,4216.5,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Bias,Mean Signed Error,21.20487403869629,m/s,mean(reconstructed_speed - true_speed),Average signed error. Positive means too fast; negative means too slow.,Closer to zero is better.
0,0.5,4216.5,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,NRMSE,Normalized Root Mean Squared Error,23.188858032226562,%,100 * RMSE / (max(true_speed) - min(true_speed)),RMSE expressed as percent of the true velocity range.,Lower is better.
0,0.5,4216.5,Stage 2,85 MHz high-frequency FWI reconstruction initialized from Stage 1,Correlation,Pearson Spatial Correlation,0.5826545708964572,unitless,"corrcoef(reconstructed_speed_flat, true_speed_flat)",Spatial similarity between reconstructed and true velocity maps.,Closer to 1 is better.
